"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XAPISV3001R","0,25%","0,98%","0,00%","24.74%","C:64.51%","D:33.82%","E:63.86%","0","AplCorredu--emsntsct#1--msdtc","0--0--0","0"
"GREENOK","XAPISV3002R","0,12%","0,58%","0,00%","30.98%","C:64.79%","D:33.91%","E:64.57%","0","icak2meng--AppVStreamingUX--taskhost","0--0--0","0"
"GREENOK","XAPISV3003R","0,38%","2,15%","0,00%","23.53%","C:63.48%","D:33.89%","E:34.36%","0","WmiApSrv--SCService64--MSOIDSVCM","0--0--0","0"
"GREENOK","XAPISV3004R","0,29%","1,95%","0,00%","23.49%","C:63.48%","D:33.89%","E:33.93%","0","WmiApSrv--SCService64--MSOIDSVCM","0--0--0","0"
"GREENOK","XAPISV3005R","0,12%","0,78%","0,00%","30.39%","C:64.66%","D:33.98%","E:64.31%","0","VDARedirector--dwm--icak2meng","0--0--0","0"
"GREENOK","XARISV0600R","0,58%","4,30%","0,00%","13.65%","C:54.7%","D:52.98%","E:76.02%","0","SemsService_4044--WmiApSrv_3940--SCService64_3840","0--0--0","0"
"GREENOK","XARISV0601R","0,30%","0,98%","0,00%","15.17%","C:54.86%","D:53.22%","E:76.7%","0","emsntsct_5240--tibemsd_2580--sisipsutil_3084","0--0--0","0"
"GREENOK","XARISV0602R","0,25%","0,99%","0,00%","13.6%","C:54.7%","D:52.98%","E:76.07%","0","SemsService_3212--WmiApSrv_772--SCService64_4060","0--0--0","0"
"GREENOK","XARISV0603R","0,26%","1,64%","0,00%","14.32%","C:54.83%","D:53.14%","E:75.97%","0","tibemsd_6096--SCService64_4084--WmiApSrv_768","6--0--0","0"
"GREENOK","XARISV0604R","1,30%","12,89%","0,00%","15.73%","C:54.91%","D:52.98%","E:76.18%","0","concentr_6600--Receiver_6872--Automate_6468","0--0--0","0"
"GREENOK","XARISV0605R","3,64%","14,15%","0,49%","18.53%","C:55.13%","D:53.22%","E:76.49%","0","iexplore_8984--VDARedirector_1648--explorer_2144","5--0--0","0"
"GREENOK","XARISV0606R","0,50%","3,14%","0,00%","13.62%","C:54.7%","D:53.22%","E:76.28%","0","SemsService_3252--WmiApSrv_4064--SCService64_3888","0--0--0","0"
"GREENOK","XARISV0607R","0,38%","1,76%","0,00%","15%","C:54.82%","D:53.38%","E:76.54%","0","sisipsutil_1584--SISIPSService_6052--SISIDSService_5112","0--0--0","0"
"GREENOK","XARISV0610R","0,21%","1,37%","0,00%","12.88%","C:54.82%","D:53.78%","E:40.87%","0","taskhost_3188--rdpclip_1524--ssonsvr_6372","0--0--0","0"
"REDNOK","XAPISV3000R",,,,,,,,,,,
