"Ping","Server","CPU Average / 10 sec","CPU Max","CPU Min","Memory Average / 10 sec","Memory Max","Memory Min","%Ocupado C:","%Ocupado D:","%Ocupado E:","3 TopProcess","3 TopProcessPercent"
"GREENOK","XAPISV3001R","0,35%","2,34%","0,00%","39.92%","39.92%","39.92%","C:65.3%","D:34.34%","E:66.55%","IEOOP;javaw#1;ABTelnetPRC","0;0;0"
"GREENOK","XAPISV3002R","0,02%","0,20%","0,00%","38.42%","38.42%","38.42%","C:65.69%","D:34.36%","E:68.13%","IEOOP;javaw#1;javaw#2","0;0;0"
"GREENOK","XAPISV3003R","0,33%","0,78%","0,00%","24.3%","24.3%","24.3%","C:63.53%","D:33.97%","E:34.93%","WmiApSrv;SCService64;MSOIDSVCM","0;0;0"
"GREENOK","XAPISV3004R","0,68%","4,49%","0,00%","23.63%","23.63%","23.63%","C:63.49%","D:33.86%","E:34.28%","WmiApSrv;SCService64;MSOIDSVCM","0;0;0"
"GREENOK","XAPISV3005R","0,56%","3,51%","0,00%","48.91%","48.91%","48.91%","C:65.7%","D:34.33%","E:67.26%","Sentinel;lync;SelfServicePlugin#1","0;0;0"
"GREENOK","XARISV0600R","0,75%","3,91%","0,00%","15.98%","15.98%","15.98%","C:54.93%","D:53.31%","E:76.75%","AuthManSvr_5092;mmc_684;SelfServicePlugin_6332","0;0;0"
"GREENOK","XARISV0601R","1,37%","4,20%","0,00%","14.61%","14.61%","14.61%","C:54.86%","D:53.3%","E:76.33%","Automate_8776;SISIPSService_5284;emsntsct_5188","12;0;0"
"GREENOK","XARISV0602R","0,69%","1,14%","0,35%","15.7%","15.7%","15.7%","C:54.84%","D:53.5%","E:76.33%","winlogon_6808;ssonsvr_6428;csrss_6768","0;0;0"
"GREENOK","XARISV0603R","0,31%","0,78%","0,00%","15.22%","15.21%","15.22%","C:54.86%","D:53.23%","E:76.02%","OSPPSVC_8524;csrss_5676;conhost_5752","0;0;0"
"GREENOK","XARISV0604R","8,86%","18,25%","3,61%","15.56%","15.55%","15.57%","C:55.07%","D:50.11%","E:75.66%","Automate_10112;concentr_7984;ReconnAct_7604","54;0;0"
"GREENOK","XARISV0605R","0,76%","4,30%","0,00%","15.35%","15.34%","15.35%","C:55.2%","D:52.95%","E:76.33%","Receiver_6548;AuthManSvr_5400;mmc_6396","0;0;0"
"GREENOK","XARISV0606R","0,39%","1,18%","0,00%","14.21%","14.21%","14.21%","C:54.74%","D:53.19%","E:76.44%","AotListener_5920;conhost_5972;VSSVC_5024","0;0;0"
"GREENOK","XARISV0607R","0,26%","1,37%","0,00%","14.33%","14.33%","14.33%","C:54.95%","D:53.19%","E:76.23%","Norskale Agent Host Service_832;sisipsutil_5708;msdtc_2848","0;0;0"
"GREENOK","XARISV0610R","0,40%","1,37%","0,01%","12.43%","12.43%","12.43%","C:54.85%","D:54.05%","E:41.15%","taskhost_9912;rdpclip_13120;ssonsvr_16124","0;0;0"
"REDNOK","XAPISV3000R",,,,,,,,,,,
